student_id,registration_number,name,semester,course,attendance_percentage,previous_cgpa,study_hours_per_day,assignments_completed,extracurricular_activities,performance_category,Do I have any backlogs?
"STU0024","231FA04024","Karthik Acharya",8,"B.Tech AI & Data Science",65.06,9.47,3,49,0,"Needs Improvement","Yes"
"STU0025","231FA04025","Kavitha Acharya",5,"B.Tech Information Technology",59.93,9.77,7.9,63,6,"Needs Improvement","Yes"
"STU0026","231FA04026","Keerthi Acharya",1,"B.Tech AI & Data Science",82.02,6.82,5.8,91,8,"Average","No"
"STU0027","231FA04027","Krishna Acharya",1,"B.Tech Computer Science",81.16,5.04,7,40,3,"Needs Improvement","Yes"
"STU0028","231FA04028","Lahari Acharya",6,"B.Tech Computer Science",94.21,7.9,8.9,48,2,"Good","No"
"STU0029","231FA04029","Madhuri Acharya",4,"B.Tech AI & Data Science",55.42,5.39,1.5,47,1,"Needs Improvement","Yes"
"STU0030","231FA04030","Manasa Acharya",6,"B.Tech Information Technology",82.92,8.23,2.2,49,6,"Good","Yes"
"STU0031","231FA04031","Monika Acharya",5,"B.Tech AI & Data Science",58.06,8.46,1.8,38,8,"Needs Improvement","Yes"
"STU0032","231FA04032","Navya Acharya",3,"B.Tech Computer Science",83.35,5.69,1.2,60,8,"Needs Improvement","Yes"
"STU0033","231FA04033","Neha Acharya",3,"B.Tech Computer Science",69.94,8.06,4.1,79,3,"Needs Improvement","No"
"STU0034","231FA04034","Nikhil Acharya",3,"B.Tech AI & Data Science",74.14,7.01,7.5,61,0,"Average","Yes"
"STU0035","231FA04035","Nithin Acharya",4,"B.Tech Computer Science",60.57,6.16,7.6,51,1,"Needs Improvement","Yes"
"STU0036","231FA04036","Pavani Acharya",5,"B.Tech AI & Data Science",88.89,7.09,7.9,70,0,"Average","No"
"STU0037","231FA04037","Pranavi Acharya",8,"B.Tech Information Technology",68.17,8.61,5.2,58,7,"Needs Improvement","Yes"
"STU0038","231FA04038","Rahul Acharya",3,"B.Tech Information Technology",73.75,7.9,6.8,92,0,"Average","No"
"STU0039","231FA04039","Rohit Acharya",7,"B.Tech AI & Data Science",79.82,6.29,1.6,72,2,"Average","Yes"
"STU0040","231FA04040","Sai Acharya",1,"B.Tech Information Technology",84.48,6.48,5.5,54,5,"Average","Yes"
"STU0041","231FA04041","Sanjana Acharya",6,"B.Tech Information Technology",83.95,4.93,7.1,73,3,"Needs Improvement","Yes"
"STU0042","231FA04042","Sharvani Acharya",1,"B.Tech Information Technology",72.1,5.15,4.9,47,2,"Needs Improvement","Yes"
"STU0043","231FA04043","Sneha Acharya",4,"B.Tech Information Technology",79.23,8.94,3.8,76,3,"Good","No"
"STU0044","231FA04044","Sowmya Acharya",4,"B.Tech Information Technology",63.06,8.31,2.5,83,7,"Needs Improvement","Yes"
"STU0045","231FA04045","Sreeja Acharya",1,"B.Tech Information Technology",56.67,9.56,8,56,4,"Needs Improvement","Yes"
"STU0046","231FA04046","Tejas Acharya",7,"B.Tech Information Technology",77.34,4.95,1.4,99,0,"Needs Improvement","Yes"
"STU0047","231FA04047","Varshitha Acharya",3,"B.Tech AI & Data Science",95.88,5.95,1.5,99,4,"Needs Improvement","Yes"
"STU0048","231FA04048","Vikram Acharya",5,"B.Tech Information Technology",73.79,9.21,1.9,62,3,"Average","Yes"
"STU0049","231FA04049","Yash Acharya",6,"B.Tech Information Technology",70.62,8.12,2.6,99,3,"Average","Yes"
"STU0050","231FA04050","Yamini Acharya",2,"B.Tech Computer Science",65.68,9.61,7.8,40,4,"Needs Improvement","Yes"
"STU0051","231FA04051","Aadhya Babu",7,"B.Tech AI & Data Science",96.45,5.63,3.9,70,1,"Needs Improvement","No"
"STU0052","231FA04052","Aarav Babu",7,"B.Tech AI & Data Science",61.7,5.2,6,55,7,"Needs Improvement","Yes"
"STU0053","231FA04053","Aarohi Babu",7,"B.Tech Information Technology",63.31,7.78,3.4,60,4,"Needs Improvement","Yes"
"STU0054","231FA04054","Abhinav Babu",4,"B.Tech Computer Science",73.48,8.73,6.5,78,4,"Average","No"
"STU0055","231FA04055","Aditya Babu",6,"B.Tech Computer Science",85.29,7.27,2.7,60,6,"Average","Yes"
"STU0056","231FA04056","Akanksha Babu",6,"B.Tech Information Technology",83.56,7.79,5.3,64,7,"Good","No"
"STU0057","231FA04057","Akhil Babu",5,"B.Tech AI & Data Science",95.43,5.27,7.3,92,3,"Needs Improvement","Yes"
"STU0058","231FA04058","Akshara Babu",5,"B.Tech AI & Data Science",87.02,9.61,1.2,52,1,"Good","Yes"
"STU0059","231FA04059","Ananya Babu",3,"B.Tech Information Technology",97.86,9.1,4.9,49,1,"Good","No"
"STU0060","231FA04060","Anish Babu",8,"B.Tech Computer Science",84.21,8.3,5.3,83,4,"Good","No"
"STU0061","231FA04061","Anjali Babu",4,"B.Tech Computer Science",76,4.8,5.7,83,3,"Needs Improvement","Yes"
"STU0062","231FA04062","Ankita Babu",7,"B.Tech Computer Science",64.29,9.61,1.1,87,2,"Needs Improvement","Yes"
"STU0063","231FA04063","Arjun Babu",2,"B.Tech Information Technology",63.32,5.96,2.6,86,5,"Needs Improvement","Yes"
"STU0064","231FA04064","Bhavya Babu",6,"B.Tech Information Technology",70.49,6.22,8.6,57,7,"Average","Yes"
"STU0065","231FA04065","Charan Babu",5,"B.Tech AI & Data Science",76.26,8.12,5.4,98,6,"Average","No"
"STU0066","231FA04066","Deepika Babu",8,"B.Tech Information Technology",64.47,4.98,1.1,43,5,"Needs Improvement","Yes"
"STU0067","231FA04067","Divya Babu",6,"B.Tech Computer Science",95.65,5.59,8.8,62,4,"Needs Improvement","Yes"
"STU0068","231FA04068","Gautham Babu",5,"B.Tech Information Technology",88.5,8.96,1.5,58,4,"Good","Yes"
"STU0069","231FA04069","Harini Babu",7,"B.Tech Computer Science",85.73,8.58,5.3,54,4,"Good","No"
"STU0070","231FA04070","Harsha Babu",6,"B.Tech Information Technology",93.77,6.85,7.3,61,4,"Average","No"
"STU0071","231FA04071","Hema Babu",4,"B.Tech Information Technology",57.39,9.64,8.2,36,3,"Needs Improvement","Yes"
"STU0072","231FA04072","Ishaan Babu",2,"B.Tech AI & Data Science",56.04,7.79,5.8,98,6,"Needs Improvement","No"
"STU0073","231FA04073","Jahnavi Babu",4,"B.Tech Information Technology",67.31,8.29,2.9,82,8,"Needs Improvement","Yes"
"STU0074","231FA04074","Karthik Babu",8,"B.Tech Information Technology",59.64,9.67,1.1,96,5,"Needs Improvement","Yes"
"STU0075","231FA04075","Kavitha Babu",8,"B.Tech Information Technology",83.17,5.77,4.8,41,4,"Needs Improvement","Yes"
"STU0076","231FA04076","Keerthi Babu",3,"B.Tech Computer Science",62.12,5.89,1.2,72,4,"Needs Improvement","Yes"
"STU0077","231FA04077","Krishna Babu",5,"B.Tech Computer Science",68.78,6.74,7.9,72,6,"Needs Improvement","No"
"STU0078","231FA04078","Lahari Babu",4,"B.Tech Computer Science",97.98,6.11,2.8,53,7,"Average","Yes"
"STU0079","231FA04079","Madhuri Babu",7,"B.Tech Information Technology",70.88,8.34,4.6,96,6,"Average","No"
"STU0080","231FA04080","Manasa Babu",6,"B.Tech Information Technology",92.85,9.79,8.9,56,5,"Good","No"
"STU0081","231FA04081","Monika Babu",8,"B.Tech AI & Data Science",93.98,6.68,4.3,90,8,"Average","No"
"STU0082","231FA04082","Navya Babu",4,"B.Tech Computer Science",71.18,8.69,4.7,48,0,"Average","Yes"
"STU0083","231FA04083","Neha Babu",5,"B.Tech Computer Science",95.44,9.16,8.2,78,4,"Good","No"
"STU0084","231FA04084","Nikhil Babu",4,"B.Tech Information Technology",74.13,8.86,8.2,47,5,"Average","Yes"
"STU0085","231FA04085","Nithin Babu",6,"B.Tech Computer Science",64.06,8.81,5.1,91,3,"Needs Improvement","No"
"STU0086","231FA04086","Pavani Babu",6,"B.Tech AI & Data Science",98.16,8.7,8.8,76,2,"Good","No"
"STU0087","231FA04087","Pranavi Babu",7,"B.Tech AI & Data Science",59.86,7.72,8.9,68,0,"Needs Improvement","No"
"STU0088","231FA04088","Rahul Babu",2,"B.Tech AI & Data Science",98.85,7.82,1.1,97,6,"Good","No"
"STU0089","231FA04089","Rohit Babu",4,"B.Tech AI & Data Science",91.24,5.8,4,89,5,"Needs Improvement","No"
"STU0090","231FA04090","Sai Babu",4,"B.Tech Computer Science",68.86,8.67,6.6,76,2,"Needs Improvement","No"
"STU0091","231FA04091","Sanjana Babu",1,"B.Tech Computer Science",82.29,9.62,8,36,6,"Good","No"
"STU0092","231FA04092","Sharvani Babu",8,"B.Tech Computer Science",75.95,9.47,1.9,77,3,"Average","No"
"STU0093","231FA04093","Sneha Babu",2,"B.Tech Information Technology",72.97,5.5,8,84,4,"Needs Improvement","Yes"
"STU0094","231FA04094","Sowmya Babu",7,"B.Tech Computer Science",85.3,6.42,4.4,57,5,"Average","Yes"
"STU0095","231FA04095","Sreeja Babu",6,"B.Tech Computer Science",93.2,7.24,2.3,91,5,"Average","No"
"STU0096","231FA04096","Tejas Babu",5,"B.Tech Information Technology",61.35,8.04,3.1,61,7,"Needs Improvement","Yes"
"STU0097","231FA04097","Varshitha Babu",5,"B.Tech AI & Data Science",70.5,8.22,5,68,6,"Average","No"
"STU0098","231FA04098","Vikram Babu",3,"B.Tech AI & Data Science",89.6,5.28,6.4,63,4,"Needs Improvement","Yes"
"STU0099","231FA04099","Yash Babu",7,"B.Tech AI & Data Science",93.88,6.44,8.3,67,4,"Average","No"
"STU0100","231FA04100","Yamini Babu",1,"B.Tech Computer Science",94.03,9.64,7.2,51,2,"Good","No"
"STU0101","231FA04101","Aadhya Chandra",4,"B.Tech Computer Science",98.05,8.66,7.4,87,7,"Good","No"
"STU0102","231FA04102","Aarav Chandra",4,"B.Tech Information Technology",69.65,9.78,2.7,94,2,"Needs Improvement","Yes"
"STU0103","231FA04103","Aarohi Chandra",7,"B.Tech AI & Data Science",82.15,7.67,8,86,3,"Good","No"
"STU0104","231FA04104","Abhinav Chandra",2,"B.Tech Information Technology",86.81,5.32,5.7,41,5,"Needs Improvement","Yes"
"STU0105","231FA04105","Aditya Chandra",1,"B.Tech AI & Data Science",93.96,6.03,7.7,67,5,"Average","No"
"STU0106","231FA04106","Akanksha Chandra",5,"B.Tech Information Technology",57.24,5.74,3.8,62,3,"Needs Improvement","Yes"
"STU0107","231FA04107","Akhil Chandra",3,"B.Tech Computer Science",95.24,5.61,6.9,69,5,"Needs Improvement","Yes"
"STU0108","231FA04108","Akshara Chandra",3,"B.Tech Computer Science",66.49,7.42,8.6,53,7,"Needs Improvement","Yes"
"STU0109","231FA04109","Ananya Chandra",7,"B.Tech Information Technology",56.52,8.41,5.9,97,2,"Needs Improvement","No"
"STU0110","231FA04110","Anish Chandra",4,"B.Tech AI & Data Science",64.84,7.4,1.7,68,7,"Needs Improvement","Yes"
"STU0111","231FA04111","Anjali Chandra",7,"B.Tech AI & Data Science",63.57,6.01,5.5,37,2,"Needs Improvement","Yes"
"STU0112","231FA04112","Ankita Chandra",4,"B.Tech Computer Science",55.85,9.44,6.6,57,6,"Needs Improvement","Yes"
"STU0113","231FA04113","Arjun Chandra",8,"B.Tech AI & Data Science",59.52,8.05,8.8,69,1,"Needs Improvement","No"
"STU0114","231FA04114","Bhavya Chandra",1,"B.Tech Computer Science",57.32,6.82,7.7,54,5,"Needs Improvement","Yes"
"STU0115","231FA04115","Charan Chandra",2,"B.Tech AI & Data Science",91.64,4.83,6.2,94,2,"Needs Improvement","No"
"STU0116","231FA04116","Deepika Chandra",4,"B.Tech Information Technology",73.49,5.3,4.1,57,6,"Needs Improvement","Yes"
"STU0117","231FA04117","Divya Chandra",1,"B.Tech Computer Science",62.66,8.71,2.3,56,8,"Needs Improvement","Yes"
"STU0118","231FA04118","Gautham Chandra",4,"B.Tech AI & Data Science",60.34,6.62,5,47,2,"Needs Improvement","Yes"
"STU0119","231FA04119","Harini Chandra",8,"B.Tech AI & Data Science",87.48,9.23,2.4,82,1,"Good","No"
"STU0120","231FA04120","Harsha Chandra",7,"B.Tech Computer Science",69.71,9.27,2.4,42,8,"Needs Improvement","Yes"
"STU0121","231FA04121","Hema Chandra",2,"B.Tech Computer Science",60.99,5.59,2.4,35,4,"Needs Improvement","Yes"
"STU0122","231FA04122","Ishaan Chandra",8,"B.Tech AI & Data Science",95.01,9.81,4.5,100,1,"Excellent","No"
"STU0123","231FA04123","Jahnavi Chandra",7,"B.Tech Computer Science",75.65,9.04,1,75,5,"Average","No"
"STU0124","231FA04124","Karthik Chandra",7,"B.Tech AI & Data Science",90.26,4.98,7,73,0,"Needs Improvement","Yes"
"STU0125","231FA04125","Kavitha Chandra",1,"B.Tech AI & Data Science",90.02,8.68,4.1,65,0,"Good","No"
"STU0126","231FA04126","Keerthi Chandra",1,"B.Tech Information Technology",64.38,9.49,3.1,70,6,"Needs Improvement","No"
"STU0127","231FA04127","Krishna Chandra",8,"B.Tech Computer Science",69.65,9.17,6.5,48,6,"Needs Improvement","Yes"
"STU0128","231FA04128","Lahari Chandra",3,"B.Tech Computer Science",59.85,6.39,6,89,8,"Needs Improvement","Yes"
"STU0129","231FA04129","Madhuri Chandra",5,"B.Tech AI & Data Science",97.63,7.52,6.4,63,2,"Good","No"
"STU0130","231FA04130","Manasa Chandra",6,"B.Tech Computer Science",81,7.62,1.5,81,6,"Good","No"
"STU0131","231FA04131","Monika Chandra",7,"B.Tech Information Technology",78.75,9.52,3.5,78,0,"Good","No"
"STU0132","231FA04132","Navya Chandra",2,"B.Tech Computer Science",74.93,7.28,2.2,64,8,"Average","Yes"
"STU0133","231FA04133","Neha Chandra",5,"B.Tech Information Technology",66.59,7.24,3.3,90,5,"Needs Improvement","No"
"STU0134","231FA04134","Nikhil Chandra",6,"B.Tech Information Technology",94.53,9.04,2.6,56,8,"Good","Yes"
"STU0135","231FA04135","Nithin Chandra",6,"B.Tech Information Technology",65.86,5.06,1.7,39,4,"Needs Improvement","Yes"
"STU0136","231FA04136","Pavani Chandra",8,"B.Tech AI & Data Science",75.68,7.47,6.9,100,5,"Average","No"
"STU0137","231FA04137","Pranavi Chandra",6,"B.Tech Computer Science",87.73,6.05,8.4,80,4,"Average","No"
"STU0138","231FA04138","Rahul Chandra",6,"B.Tech Information Technology",65.18,5.37,1.6,69,7,"Needs Improvement","Yes"
"STU0139","231FA04139","Rohit Chandra",1,"B.Tech Computer Science",91.35,6.41,8.8,35,3,"Average","Yes"
"STU0140","231FA04140","Sai Chandra",3,"B.Tech AI & Data Science",94.4,9.17,4.5,79,6,"Good","No"
"STU0141","231FA04141","Sanjana Chandra",4,"B.Tech AI & Data Science",82.57,7.76,1.6,94,8,"Good","No"
"STU0142","231FA04142","Sharvani Chandra",2,"B.Tech Computer Science",57.6,7.1,1.1,50,7,"Needs Improvement","Yes"
"STU0143","231FA04143","Sneha Chandra",6,"B.Tech AI & Data Science",93.31,8.47,2,78,0,"Good","No"
"STU0144","231FA04144","Sowmya Chandra",8,"B.Tech AI & Data Science",67.72,6.56,3.4,87,1,"Needs Improvement","No"
"STU0145","231FA04145","Sreeja Chandra",4,"B.Tech AI & Data Science",89.85,6.27,5.6,40,2,"Average","Yes"
"STU0146","231FA04146","Tejas Chandra",8,"B.Tech AI & Data Science",72.28,8.97,8.4,48,7,"Average","Yes"
"STU0147","231FA04147","Varshitha Chandra",3,"B.Tech AI & Data Science",78.99,8.42,6.6,80,2,"Good","No"
"STU0148","231FA04148","Vikram Chandra",2,"B.Tech Computer Science",62.51,7.35,8.6,97,5,"Needs Improvement","No"
"STU0149","231FA04149","Yash Chandra",3,"B.Tech AI & Data Science",98.78,4.85,7.1,62,3,"Needs Improvement","Yes"
"STU0150","231FA04150","Yamini Chandra",5,"B.Tech Information Technology",80,7.88,2.1,65,1,"Good","No"
"STU0151","231FA04151","Aadhya Chowdary",8,"B.Tech Computer Science",84.76,5.06,8,77,2,"Needs Improvement","Yes"
"STU0152","231FA04152","Aarav Chowdary",6,"B.Tech AI & Data Science",84.44,8.91,1.8,79,7,"Good","No"
"STU0153","231FA04153","Aarohi Chowdary",1,"B.Tech Computer Science",84.14,6.01,5.7,74,5,"Average","No"
"STU0154","231FA04154","Abhinav Chowdary",7,"B.Tech Computer Science",68.57,5.28,4.7,89,8,"Needs Improvement","Yes"
"STU0155","231FA04155","Aditya Chowdary",6,"B.Tech AI & Data Science",94.94,9.29,7.4,65,5,"Good","No"
"STU0156","231FA04156","Akanksha Chowdary",2,"B.Tech AI & Data Science",92.1,7.94,4.9,84,0,"Good","No"
"STU0157","231FA04157","Akhil Chowdary",3,"B.Tech Information Technology",95.69,7.05,6.5,80,7,"Average","No"
"STU0158","231FA04158","Akshara Chowdary",8,"B.Tech AI & Data Science",91.29,6,7.5,58,8,"Average","Yes"
"STU0159","231FA04159","Ananya Chowdary",4,"B.Tech AI & Data Science",64.55,6.39,5,57,3,"Needs Improvement","Yes"
"STU0160","231FA04160","Anish Chowdary",7,"B.Tech Computer Science",62.02,5.21,6.1,91,0,"Needs Improvement","Yes"
"STU0161","231FA04161","Anjali Chowdary",3,"B.Tech Computer Science",58.8,9.6,4.5,38,3,"Needs Improvement","Yes"
"STU0162","231FA04162","Ankita Chowdary",1,"B.Tech AI & Data Science",55.69,7.73,6.8,61,7,"Needs Improvement","Yes"
"STU0163","231FA04163","Arjun Chowdary",8,"B.Tech Computer Science",64.64,7.55,1,70,7,"Needs Improvement","Yes"
"STU0164","231FA04164","Bhavya Chowdary",4,"B.Tech Information Technology",92.12,9.81,4.3,83,7,"Excellent","No"
"STU0165","231FA04165","Charan Chowdary",3,"B.Tech Computer Science",98.98,7.36,7.4,46,1,"Average","No"
"STU0166","231FA04166","Deepika Chowdary",2,"B.Tech Computer Science",62.46,5.67,2.1,52,7,"Needs Improvement","Yes"
"STU0167","231FA04167","Divya Chowdary",4,"B.Tech Information Technology",90.35,8.01,1.6,47,0,"Good","Yes"
"STU0168","231FA04168","Gautham Chowdary",7,"B.Tech Computer Science",97.45,9.66,4,99,6,"Excellent","No"
"STU0169","231FA04169","Harini Chowdary",3,"B.Tech Information Technology",98.19,6.99,3.3,74,4,"Average","No"
"STU0170","231FA04170","Harsha Chowdary",3,"B.Tech Information Technology",67.82,5.95,8.5,72,5,"Needs Improvement","Yes"
"STU0171","231FA04171","Hema Chowdary",2,"B.Tech Computer Science",92.49,4.98,1.4,58,6,"Needs Improvement","Yes"
"STU0172","231FA04172","Ishaan Chowdary",4,"B.Tech Information Technology",62.26,5.9,9,56,8,"Needs Improvement","Yes"
"STU0173","231FA04173","Jahnavi Chowdary",3,"B.Tech Computer Science",70.25,7.35,1.4,45,1,"Average","Yes"
"STU0174","231FA04174","Karthik Chowdary",7,"B.Tech Information Technology",75.39,7.69,2,45,4,"Average","Yes"
"STU0175","231FA04175","Kavitha Chowdary",4,"B.Tech Computer Science",66.88,7.89,5.1,60,6,"Needs Improvement","Yes"
"STU0176","231FA04176","Keerthi Chowdary",5,"B.Tech Information Technology",69.57,9.24,6.9,59,2,"Needs Improvement","Yes"
"STU0177","231FA04177","Krishna Chowdary",6,"B.Tech Computer Science",97.24,9.33,7.8,80,6,"Excellent","No"
"STU0178","231FA04178","Lahari Chowdary",7,"B.Tech Information Technology",63.86,9.22,3.7,98,2,"Needs Improvement","No"
"STU0179","231FA04179","Madhuri Chowdary",5,"B.Tech AI & Data Science",66.9,8,4.9,67,8,"Needs Improvement","No"
"STU0180","231FA04180","Manasa Chowdary",6,"B.Tech AI & Data Science",77.23,7.01,7.1,64,3,"Average","No"
"STU0181","231FA04181","Monika Chowdary",2,"B.Tech Information Technology",82.26,4.94,5.2,66,3,"Needs Improvement","No"
"STU0182","231FA04182","Navya Chowdary",4,"B.Tech Computer Science",78.58,6.26,2.4,74,3,"Average","Yes"
"STU0183","231FA04183","Neha Chowdary",2,"B.Tech Computer Science",57.77,8.23,4.9,36,3,"Needs Improvement","Yes"
"STU0184","231FA04184","Nikhil Chowdary",7,"B.Tech AI & Data Science",90.08,9.86,5.4,81,2,"Excellent","No"
"STU0185","231FA04185","Nithin Chowdary",1,"B.Tech AI & Data Science",66.7,8.82,1.7,40,3,"Needs Improvement","Yes"
"STU0186","231FA04186","Pavani Chowdary",7,"B.Tech Information Technology",65.2,8.46,6.2,79,7,"Needs Improvement","No"
"STU0187","231FA04187","Pranavi Chowdary",1,"B.Tech AI & Data Science",88.58,4.84,7.8,58,7,"Needs Improvement","Yes"
"STU0188","231FA04188","Rahul Chowdary",8,"B.Tech AI & Data Science",98.59,7.41,7.6,65,8,"Good","No"
"STU0189","231FA04189","Rohit Chowdary",5,"B.Tech Information Technology",77.58,7.18,5.6,49,2,"Average","No"
"STU0190","231FA04190","Sai Chowdary",6,"B.Tech Computer Science",94.81,6.58,6.9,60,5,"Average","No"
"STU0191","231FA04191","Sanjana Chowdary",2,"B.Tech Computer Science",86.69,6.48,3.8,69,2,"Average","No"
"STU0192","231FA04192","Sharvani Chowdary",4,"B.Tech Computer Science",61.9,8,1.1,55,5,"Needs Improvement","Yes"
"STU0193","231FA04193","Sneha Chowdary",6,"B.Tech AI & Data Science",71.92,9.31,4,79,2,"Average","No"
"STU0194","231FA04194","Sowmya Chowdary",1,"B.Tech Information Technology",64.78,6.78,8.3,78,0,"Needs Improvement","No"
"STU0195","231FA04195","Sreeja Chowdary",6,"B.Tech Information Technology",95.85,6.59,3.1,100,5,"Average","No"
"STU0196","231FA04196","Tejas Chowdary",4,"B.Tech AI & Data Science",73.87,6.23,5.9,66,4,"Average","Yes"
"STU0197","231FA04197","Varshitha Chowdary",4,"B.Tech Information Technology",71.42,5.86,7.1,81,5,"Needs Improvement","Yes"
"STU0198","231FA04198","Vikram Chowdary",7,"B.Tech AI & Data Science",60.37,6.85,5.2,86,5,"Needs Improvement","No"
"STU0199","231FA04199","Yash Chowdary",5,"B.Tech Computer Science",67.51,5.1,6.2,83,2,"Needs Improvement","Yes"
"STU0200","231FA04200","Yamini Chowdary",2,"B.Tech AI & Data Science",81.27,6.31,8,75,8,"Average","No"
"STU0201","231FA04201","Aadhya Dasari",5,"B.Tech Information Technology",55.31,9.54,1.8,100,6,"Needs Improvement","Yes"
"STU0202","231FA04202","Aarav Dasari",4,"B.Tech AI & Data Science",74.43,5.67,1.2,50,3,"Needs Improvement","Yes"
"STU0203","231FA04203","Aarohi Dasari",2,"B.Tech AI & Data Science",79.48,9.38,7.3,97,7,"Good","No"
"STU0204","231FA04204","Abhinav Dasari",1,"B.Tech AI & Data Science",65.16,4.86,8,58,8,"Needs Improvement","Yes"
"STU0205","231FA04205","Aditya Dasari",6,"B.Tech AI & Data Science",62.05,6.49,1.1,67,6,"Needs Improvement","Yes"
"STU0206","231FA04206","Akanksha Dasari",3,"B.Tech Computer Science",79.3,5.72,5.8,36,1,"Needs Improvement","Yes"
"STU0207","231FA04207","Akhil Dasari",5,"B.Tech Computer Science",64.77,6.13,5.1,89,5,"Needs Improvement","Yes"
"STU0208","231FA04208","Akshara Dasari",4,"B.Tech Information Technology",83.71,5.01,6.5,84,2,"Needs Improvement","No"
"STU0209","231FA04209","Ananya Dasari",3,"B.Tech Computer Science",56.66,5.03,1.3,65,4,"Needs Improvement","Yes"
"STU0210","231FA04210","Anish Dasari",6,"B.Tech AI & Data Science",69.73,5.87,6.4,73,0,"Needs Improvement","Yes"
"STU0211","231FA04211","Anjali Dasari",8,"B.Tech Information Technology",93.05,9.32,4.8,95,6,"Excellent","No"
"STU0212","231FA04212","Ankita Dasari",5,"B.Tech Information Technology",57.2,5.77,5.1,40,5,"Needs Improvement","Yes"
"STU0213","231FA04213","Arjun Dasari",6,"B.Tech AI & Data Science",64.35,8.08,6.2,55,3,"Needs Improvement","Yes"
"STU0214","231FA04214","Bhavya Dasari",5,"B.Tech AI & Data Science",74.62,7.76,6.7,71,3,"Average","No"
"STU0215","231FA04215","Charan Dasari",4,"B.Tech Computer Science",64.44,6.74,2.7,85,8,"Needs Improvement","Yes"
"STU0216","231FA04216","Deepika Dasari",6,"B.Tech Computer Science",77.69,8.41,2.2,65,0,"Average","No"
"STU0217","231FA04217","Divya Dasari",4,"B.Tech Information Technology",84.91,8.88,2.3,81,2,"Good","No"
"STU0218","231FA04218","Gautham Dasari",5,"B.Tech Information Technology",69.65,7.97,5.7,77,6,"Needs Improvement","No"
"STU0219","231FA04219","Harini Dasari",7,"B.Tech Computer Science",56.42,7.59,5.8,45,8,"Needs Improvement","Yes"
"STU0220","231FA04220","Harsha Dasari",4,"B.Tech Information Technology",90.34,7.15,7.6,90,2,"Average","No"
"STU0221","231FA04221","Hema Dasari",1,"B.Tech AI & Data Science",88.97,6.64,5.2,58,6,"Average","No"
"STU0222","231FA04222","Ishaan Dasari",4,"B.Tech Information Technology",73.12,8.52,8.7,36,8,"Average","Yes"
